produto,mes_num,mes,indice_medio,ranking
arroz,1,Janeiro,161.38,7
arroz,2,Fevereiro,161.7,8
arroz,3,Março,161.3,6
arroz,4,Abril,161.06,5
arroz,5,Maio,160.96,4
arroz,6,Junho,160.6,2
arroz,7,Julho,160.76,3
arroz,8,Agosto,159.91,1
arroz,9,Setembro,163.35,9
arroz,10,Outubro,166.24,10
arroz,11,Novembro,167.56,11
arroz,12,Dezembro,169.93,12
tomate,1,Janeiro,155.59,8
tomate,2,Fevereiro,154.89,7
tomate,3,Março,172.95,9
tomate,4,Abril,188.46,12
tomate,5,Maio,181.62,11
tomate,6,Junho,177.01,10
tomate,7,Julho,147.26,3
tomate,8,Agosto,136.25,2
tomate,9,Setembro,134.78,1
tomate,10,Outubro,150.31,4
tomate,11,Novembro,153.55,6
tomate,12,Dezembro,151.19,5
leite,1,Janeiro,136.19,1
leite,2,Fevereiro,137.63,2
leite,3,Março,142.89,3
leite,4,Abril,151.67,6
leite,5,Maio,154.15,8
leite,6,Junho,158.58,10
leite,7,Julho,163.07,12
leite,8,Agosto,162.16,11
leite,9,Setembro,157.92,9
leite,10,Outubro,154.07,7
leite,11,Novembro,148.18,5
leite,12,Dezembro,144.14,4
